name,game_id,rating,complexity_rating,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,top_2000
Scooby-Doo: Escape from the Haunted Mansion,302344,7.20088,1.8889,2020,1,99,60,120,12,2163,0
Donald Quest,302361,4.88529,1,2020,2,4,15,30,6,112,0
Back to the Future: Back in Time,302388,7.26071,2.381,2020,2,4,50,50,10,6787,1
Steamwatchers,302413,7.54472,3.2667,2021,2,5,90,90,14,814,0
Mia London and the Case of the 625 Scoundrels,302417,6.4847,1,2020,2,4,10,15,5,308,0
SpongeBob SquarePants Fluxx,302421,6.35651,1.25,2020,2,6,10,40,8,259,0
Unlock!: Mythic Adventures,302425,7.72387,2.1429,2020,1,6,60,60,10,3588,1
Intrepid,302461,7.20851,3.2903,2021,1,4,60,90,13,1856,0
Telestrations: Upside Drawn,302463,6.22658,1,2020,4,12,20,20,12,397,0
Obsidia,302465,7.26136,2.3333,2020,1,4,45,120,13,128,0
Ausonia,302469,7.71379,2.3636,2021,1,4,30,30,12,1003,0
Kittin,302477,6.27006,1,2020,2,8,3,15,6,1197,0
Mining Colony,302510,6.94671,1.8333,2021,1,4,40,40,14,969,0
Hues and Cues,302520,6.62755,1.1136,2020,3,10,30,30,8,5814,0
Super-Skill Pinball: 4-Cade,302524,7.13444,2.2381,2020,1,4,30,30,12,6279,1
Codex: L'Ultime secret de Léonard de Vinci,302571,7.95729,2.6667,2020,1,99,180,240,14,148,0
Forgotten Waters,302723,7.85846,2.1121,2020,3,7,120,240,14,12523,1
Master Word,302734,6.78675,1.4545,2020,3,6,5,15,12,1475,0
Swatch: The Abstract Game of Art,302753,7.14645,1.8333,2022,1,4,30,60,14,215,0
Stop the Train!,302755,6.84227,2.2,2021,4,6,20,30,11,539,0
Betrayal at Mystery Mansion,302809,6.66939,1.7917,2020,3,5,25,50,8,3434,0
Carcata,302840,6.43037,1.3333,2020,2,4,20,40,8,380,0
Sound Box,302876,6.85843,1,2022,4,7,30,45,8,379,0
The Dwarves: Big Box,302882,7.48699,2,2021,2,6,60,90,10,757,0
Bronze Age,302887,7.14518,2,2022,2,2,20,30,0,279,0
Mein Königreich für ein Pferd,302911,6.3333,2,2021,1,4,30,45,8,198,0
Dream Cruise,302914,6.78272,1.9091,2021,1,4,30,45,8,282,0
King of 12,302917,6.6462,1.3684,2020,2,4,20,40,10,2360,0
Silver Coin,302926,7.52576,1.7778,2020,2,4,30,60,8,901,0
Kodama Forest,302933,6.75089,1.1667,2020,1,6,30,30,14,644,0
Akros,302965,7.52056,2,2020,2,2,15,30,10,285,0
Funkoverse Strategy Game: DC Comics 102,302990,7.64773,2,2020,2,2,20,60,10,628,0
Funkoverse Strategy Game: Back to the Future 100,302991,7.38294,2,2020,2,2,20,60,10,859,0
The Imposter Kings Card Game,303003,8.27538,2.5,2021,2,4,5,20,8,126,0
Harry Potter: House Cup Competition,303006,6.74362,2.1,2020,2,4,75,75,11,1470,0
Godzilla: Tokyo Clash,303051,7.2758,2.3226,2020,2,4,45,45,10,4471,0
