BGGId,Name,YearPublished,Complexity,ComplexityCategory,AvgRating,MinPlayers,MaxPlayers,NumOwned,MfgPlaytime,ComMinPlaytime,ComMaxPlaytime,MfgAgeRec,NumUserRatings,TotalMechanics,boardgamerank,strategygamesrank,abstractsrank,familygamesrank,thematicrank,cgsrank,wargamesrank,partygamesrank,childrensgamesrank,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
245389,Word Slam Family,2018,1.5,Low complexity,7.22085,3,99,663,45,45,45,10,201,0,5468,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
245214,Saboteur: The Lost Mines,2018,2.1818,Average complexity,6.32772,3,9,1649,60,30,60,10,534,3,5469,21926,21926,1374,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
198985,Day Night Z,2019,3.6842,High complexity,7.6277,1,4,528,150,60,150,14,259,7,5470,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
16443,Dungeoneer: Dragons of the Forsaken Desert,2005,2.2115,Average complexity,6.30014,2,4,1302,60,60,60,12,532,5,5471,21926,21926,21926,778,21926,21926,21926,21926,1,0,0,0,0,0,0,0
261321,Ascension: Deliverance,2018,2,Average complexity,8.0296,1,4,405,30,30,30,13,126,3,5472,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
69136,"Bloody April, 1917: Air War Over Arras, France",2012,4.0976,High complexity,7.31451,1,2,901,120,120,120,0,206,6,5473,21926,21926,21926,21926,21926,665,21926,21926,0,0,1,0,0,0,0,0
232045,Shaky Manor,2017,1,Low complexity,6.11231,2,4,1549,20,10,20,6,678,3,5474,21926,21926,21926,21926,21926,21926,21926,128,0,0,0,0,0,0,0,1
52568,Mali Powstańcy: Warszawa 1944,2009,2.0667,Average complexity,6.58155,2,4,440,30,30,30,8,342,5,5475,21926,21926,1334,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
181265,BrilliAnts,2017,2.2857,Average complexity,6.96175,1,6,757,80,30,80,14,300,5,5476,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
55763,Mister X,2009,2.0667,Average complexity,6.62923,2,6,661,60,60,60,10,349,6,5477,21926,21926,1352,793,21926,21926,21926,21926,1,0,0,1,0,0,0,0
322588,Origins: First Builders,2021,3,High complexity,7.1418,1,4,308,120,60,120,14,191,5,5478,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
6202,The Rise of the Roman Republic,2003,3.7705,High complexity,6.91113,2,3,834,240,240,240,0,247,4,5479,21926,21926,21926,21926,21926,752,21926,21926,0,0,1,0,0,0,0,0
210152,Bushido,2018,2,Average complexity,7.37579,2,2,422,30,20,30,8,190,3,5480,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
235982,RWBY: Combat Ready,2018,2.4545,Average complexity,7.04981,2,5,777,75,45,75,14,263,3,5481,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
120265,"Supply Lines of the American Revolution: The Northern Theater, 1775-1777",2017,2.7143,Average complexity,7.6038,2,2,591,180,150,180,0,166,2,5482,21926,21926,21926,21926,21926,617,21926,21926,0,0,1,0,0,0,0,0
66437,Souvlaki Wars,2011,1.5588,Low complexity,6.43993,2,4,563,30,30,30,10,445,2,5483,21926,21926,1366,21926,21926,21926,340,21926,0,0,0,1,0,0,1,0
248763,Magic: The Gathering – Heroes of Dominaria Board Game,2018,2.2857,Average complexity,6.69161,2,4,863,75,45,75,14,298,6,5484,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
43526,Germantown,2010,3,High complexity,7.44832,2,2,807,180,180,180,0,168,1,5485,21926,21926,21926,21926,21926,599,21926,21926,0,0,1,0,0,0,0,0
134524,Lion Rampant: Medieval Wargaming Rules,2014,2.3333,Average complexity,7.92657,2,2,351,60,60,60,0,143,5,5486,21926,21926,21926,21926,21926,616,21926,21926,0,0,1,0,0,0,0,0
230591,Favelas,2017,1.7143,Low complexity,6.36658,2,4,621,45,30,45,14,451,2,5487,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
27766,Die Siedler von Catan: Junior,2007,1.5484,Low complexity,6.33581,3,4,945,30,30,30,6,475,6,5488,21926,21926,21926,21926,21926,21926,21926,102,0,0,0,0,0,0,0,1
8069,Clue FX,2003,1.7966,Low complexity,6.24079,2,4,1583,30,30,30,8,650,4,5489,21926,21926,1409,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
143782,Global Mogul,2013,3.4,High complexity,6.97891,1,4,540,120,60,120,14,230,2,5490,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
180205,Trans-Siberian Railroad,2015,2.9,Average complexity,7.24663,3,5,578,90,45,90,0,181,2,5491,1713,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
238090,Speakeasy Blues,2018,2.8571,Average complexity,7.01833,2,4,485,45,45,45,14,222,4,5492,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
62922,None But Heroes,2011,3.7143,High complexity,8.28971,2,2,635,60,60,60,15,136,3,5493,21926,21926,21926,21926,21926,489,21926,21926,0,0,1,0,0,0,0,0
18723,"Aye, Dark Overlord! The Red Box",2005,1.3005,Low complexity,5.87005,4,16,5201,30,30,30,13,2818,4,5494,21926,21926,21926,21926,21926,21926,445,21926,0,0,0,0,0,0,1,0
241334,Dwar7s Winter,2018,2.75,Average complexity,6.86724,1,4,1096,45,30,45,13,330,4,5495,21926,21926,1388,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
171136,Pingo Pingo,2015,1.3333,Low complexity,6.39467,2,5,1240,15,15,15,6,432,2,5496,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
2379,Guesstures,1990,1.1776,Low complexity,5.90605,4,99,3664,10,10,10,8,1553,4,5497,21926,21926,21926,21926,21926,21926,396,21926,0,0,0,0,0,0,1,0
306697,Smash Up: Marvel,2021,2,Average complexity,7.62976,2,4,860,60,30,60,12,179,4,5498,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
13403,Three Battles of Manassas,2004,3.375,High complexity,7.8673,2,2,600,180,180,180,14,143,1,5499,21926,21926,21926,21926,21926,526,21926,21926,0,0,1,0,0,0,0,0
366,Viva Pamplona!,1992,1.38,Low complexity,6.36593,2,6,349,45,45,45,8,413,2,5500,21926,21926,1343,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
145103,7 Days of Westerplatte,2013,2.3846,Average complexity,6.59041,1,4,504,60,45,60,8,344,3,5501,1748,21926,21926,21926,21926,1164,21926,21926,0,1,1,0,0,0,0,0
98762,Test of Fire: Bull Run 1861,2011,1.8723,Low complexity,6.51571,2,2,758,45,45,45,10,339,3,5502,21926,21926,21926,21926,21926,944,21926,21926,0,0,1,0,0,0,0,0
274128,Epic Spell Wars of the Battle Wizards: Annihilageddon Deck-Building Game,2019,2.1111,Average complexity,6.99952,2,5,718,90,60,90,15,263,3,5503,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
230430,Unlock!: Escape Adventures – Temple of Ra,2017,3.8333,High complexity,6.47123,1,6,503,60,60,60,0,367,3,5504,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
183797,Timeline: Star Wars,2015,1.1667,Low complexity,6.14119,2,8,1374,15,15,15,8,644,0,5505,21926,21926,21926,21926,21926,21926,357,21926,0,0,0,0,0,0,1,0
112192,Sugar Gliders,2012,2.0909,Average complexity,6.61999,2,4,576,30,30,30,8,327,1,5506,21926,223,1351,21926,21926,21926,21926,21926,0,0,0,1,0,1,0,0
296483,The Great Race,2020,2.2222,Average complexity,7.90764,2,4,424,60,60,60,10,229,6,5507,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
269456,"Interceptor Ace: Daylight Air Defense Over Germany, 1943-44",2019,2.5455,Average complexity,8.20408,1,1,450,180,120,180,0,147,3,5508,21926,21926,21926,21926,21926,532,21926,21926,0,0,1,0,0,0,0,0
3003,Crash Tackle Rugby Board Game,2001,2.4688,Average complexity,7.69255,2,2,278,160,40,160,10,165,5,5509,1794,21926,21926,776,21926,21926,21926,21926,1,1,0,0,0,0,0,0
26148,Affentennis,2006,1.5714,Low complexity,7.0982,2,2,222,60,60,60,0,200,1,5510,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
158168,NHL Power Play Team-Building Card Game,2014,1.9333,Low complexity,6.76626,2,4,491,30,30,30,15,289,1,5511,1771,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
562,Silberzwerg,2000,2.5128,Average complexity,6.40794,2,4,645,60,60,60,10,416,2,5512,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,2.6296,Average complexity,6.45191,2,8,1160,180,180,180,12,430,5,5513,21926,21926,21926,21926,21926,1141,21926,21926,0,0,1,0,0,0,0,0
145599,Journey: Wrath of Demons,2015,2.7143,Average complexity,6.97986,1,4,983,75,30,75,14,270,5,5514,1829,21926,21926,758,21926,21926,21926,21926,1,1,0,0,0,0,0,0
146035,Eggs of Ostrich,2012,1.1818,Low complexity,6.7816,3,3,201,10,10,10,12,250,2,5515,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
35634,Samurai: The Card Game,2009,2.0312,Average complexity,6.31009,2,4,753,60,60,60,12,462,4,5516,1751,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
308,Santa Fe,1992,2.2143,Average complexity,6.96395,2,5,305,70,70,70,10,227,2,5517,1721,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
